instance,algorithm,run,cost,time
rc101_21,greedy,0,5635.6900,0.5448
rc101_21,greedy,1,4667.9850,0.5718
rc101_21,greedy,2,4060.9820,0.2500
rc101_21,ls,0,3808.9910,0.1646
rc101_21,ls,1,3612.8490,0.2215
rc101_21,ls,2,3482.7520,0.2525
rc101_21,sa,0,2527.9960,232.2047
rc101_21,sa,1,2490.4350,219.0116
rc101_21,sa,2,2382.9870,181.7683
rc101_21,sa_ext,0,2486.1150,62.8338
rc101_21,sa_ext,1,2450.3300,62.0222
rc101_21,sa_ext,2,2376.5650,66.6713
c105_21,greedy,0,3606.5330,0.2047
c105_21,greedy,1,3890.5350,0.4567
c105_21,greedy,2,3462.1720,0.1086
c105_21,ls,0,3210.6110,0.0880
c105_21,ls,1,2977.2600,0.1185
c105_21,ls,2,2715.4420,0.1174
c105_21,sa,0,1657.0290,218.6647
c105_21,sa,1,1692.2410,152.7987
c105_21,sa,2,1813.2940,194.2795
c105_21,sa_ext,0,1358.1700,60.4134
c105_21,sa_ext,1,1507.4210,60.9277
c105_21,sa_ext,2,1363.7450,62.0298
rc203_21,greedy,0,2340.1930,0.0177
rc203_21,greedy,1,2524.9530,0.0459
rc203_21,greedy,2,2203.4820,0.0573
rc203_21,ls,0,2112.0350,0.1154
rc203_21,ls,1,1985.1710,0.3702
rc203_21,ls,2,1875.7900,0.4174
rc203_21,sa,0,1875.7900,9.6707
rc203_21,sa,1,1875.7900,9.7581
rc203_21,sa,2,1875.7900,9.7201
rc203_21,sa_ext,0,1298.0210,60.8698
rc203_21,sa_ext,1,1298.0210,60.4193
rc203_21,sa_ext,2,1298.0210,60.2177
c103_21,greedy,0,3192.5470,0.1680
c103_21,greedy,1,3055.1250,0.2241
c103_21,greedy,2,2742.0000,0.1307
c103_21,ls,0,2613.5750,0.1609
c103_21,ls,1,2492.5110,0.3075
c103_21,ls,2,2397.4990,0.5608
c103_21,sa,0,1796.3040,130.0065
c103_21,sa,1,1577.8580,135.9626
c103_21,sa,2,1595.2150,126.1686
c103_21,sa_ext,0,1279.8800,61.0233
c103_21,sa_ext,1,1306.4090,62.0654
c103_21,sa_ext,2,1382.4880,60.2284
rc106_21,greedy,0,4568.9880,0.5312
rc106_21,greedy,1,4194.5520,0.5885
rc106_21,greedy,2,3404.2960,0.1721
rc106_21,ls,0,3068.8950,0.1228
rc106_21,ls,1,2764.5510,0.2883
rc106_21,ls,2,2577.3910,0.4678
rc106_21,sa,0,2058.3760,290.4179
rc106_21,sa,1,2577.3910,16.7604
rc106_21,sa,2,2139.5560,126.3300
rc106_21,sa_ext,0,2121.9780,62.1005
rc106_21,sa_ext,1,2108.6560,65.6804
rc106_21,sa_ext,2,2108.6560,60.7633
r102_21,greedy,0,3845.5580,0.4668
r102_21,greedy,1,3482.9460,0.4940
r102_21,greedy,2,3320.4590,0.1927
r102_21,ls,0,3088.2280,0.0898
r102_21,ls,1,2887.0710,0.2050
r102_21,ls,2,2812.7850,0.3758
r102_21,sa,0,2139.4250,264.4335
r102_21,sa,1,2169.6220,195.3989
r102_21,sa,2,2177.5540,180.3148
r102_21,sa_ext,0,2019.1850,60.6888
r102_21,sa_ext,1,1758.6180,63.6438
r102_21,sa_ext,2,1934.2200,62.6877
r107_21,greedy,0,2777.1230,0.2439
r107_21,greedy,1,2865.1030,0.2603
r107_21,greedy,2,2517.8640,0.1659
r107_21,ls,0,2417.1340,0.2674
r107_21,ls,1,2260.5310,0.3985
r107_21,ls,2,2168.7640,0.4171
r107_21,sa,0,1792.3710,132.8134
r107_21,sa,1,1634.2310,196.8328
r107_21,sa,2,1620.2320,166.2073
r107_21,sa_ext,0,1464.8800,63.0696
r107_21,sa_ext,1,1547.2000,66.1997
r107_21,sa_ext,2,1544.0180,61.7987
c204_21,greedy,0,1854.2820,0.0823
c204_21,greedy,1,2372.3270,0.2673
c204_21,greedy,2,2286.8130,0.1482
c204_21,ls,0,1732.9530,0.6331
c204_21,ls,1,1615.0810,0.9418
c204_21,ls,2,1386.2620,2.1182
c204_21,sa,0,1386.2620,11.7895
c204_21,sa,1,1386.2620,11.2589
c204_21,sa,2,1386.2620,11.2549
c204_21,sa_ext,0,952.4690,60.1787
c204_21,sa_ext,1,952.4690,62.8649
c204_21,sa_ext,2,952.4690,61.5332
r211_21,greedy,0,1628.1140,0.0424
r211_21,greedy,1,1647.4420,0.0672
r211_21,greedy,2,1967.0410,0.0304
r211_21,ls,0,1512.6280,0.4226
r211_21,ls,1,1439.5220,0.4993
r211_21,ls,2,1352.8310,1.4413
r211_21,sa,0,1352.8310,10.2744
r211_21,sa,1,1352.8310,10.4121
r211_21,sa,2,1352.8310,10.5377
r211_21,sa_ext,0,871.4730,60.1399
r211_21,sa_ext,1,959.7720,60.9256
r211_21,sa_ext,2,959.7720,60.3660
r205_21,greedy,0,1778.5290,0.0164
r205_21,greedy,1,1809.0320,0.0203
r205_21,greedy,2,2186.3420,0.0311
r205_21,ls,0,1659.3250,0.1755
r205_21,ls,1,1583.2270,0.5967
r205_21,ls,2,1515.6220,1.1634
r205_21,sa,0,1515.6220,11.6294
r205_21,sa,1,1491.6560,11.7999
r205_21,sa,2,1511.2480,11.3192
r205_21,sa_ext,0,1220.6830,60.8075
r205_21,sa_ext,1,1220.6830,61.0359
r205_21,sa_ext,2,1091.4130,60.3095
