instance,algorithm,run,cost,time,routes_count,customers_served,stations_used,accepted_moves,rejected_moves,infeasible_moves,improving_moves,stages_completed,initial_temperature,improvements_made,ejected_customers,reannealing_rounds,intensification_count
rc203_21,sa,0,1681.6920,11.4588,13,100,1,4236,1453,4311,1212,100,115.8106,0,0,,
rc203_21,sa,1,1681.6920,14.3715,13,100,1,4280,1438,4282,1251,100,137.6223,0,0,,
rc203_21,sa,2,1681.6920,13.3785,13,100,1,4252,1342,4406,1096,100,111.1299,0,0,,
rc203_21,sa_ext,0,1122.8050,61.0083,10,100,0,3830,978,670,0,60,115.8106,0,0,0.0000,12.0000
rc203_21,sa_ext,1,1122.8050,60.7715,10,100,0,3454,912,618,0,55,137.6223,0,0,0.0000,11.0000
rc203_21,sa_ext,2,1122.8050,60.1450,10,100,0,3918,1193,702,0,63,111.1299,0,0,0.0000,12.0000
rc203_21,greedy,0,2044.0180,0.0504,12,100,2,0,0,0,0,0,0.0000,0,0,,
rc203_21,greedy,1,2168.1330,0.0405,12,100,2,0,0,0,0,0,0.0000,0,0,,
rc203_21,greedy,2,2416.4820,0.0325,12,100,2,0,0,0,0,0,0.0000,0,0,,
rc203_21,ls,0,1919.6950,0.4224,13,100,1,0,0,0,0,0,0.0000,20,0,,
rc203_21,ls,1,1782.2400,0.7501,13,100,1,0,0,0,0,0,0.0000,20,1,,
rc203_21,ls,2,1681.6920,0.5520,13,100,1,0,0,0,0,0,0.0000,20,0,,
r205_21,sa,0,1424.7960,15.1941,11,100,1,4340,1029,4631,792,100,116.0239,0,0,,
r205_21,sa,1,1424.7960,15.2683,11,100,1,4110,1461,4429,1099,100,68.5988,0,0,,
r205_21,sa,2,1424.7960,13.1037,11,100,1,3998,1297,4705,652,100,97.4070,0,0,,
r205_21,sa_ext,0,1186.7240,62.5522,8,100,0,2092,334,609,0,35,116.0239,0,0,0.0000,7.0000
r205_21,sa_ext,1,1186.7240,60.9365,8,100,0,3444,618,945,0,55,68.5988,0,0,0.0000,11.0000
r205_21,sa_ext,2,1186.7240,60.9066,8,100,0,3549,655,835,0,55,97.4070,0,0,0.0000,11.0000
r205_21,greedy,0,1724.5790,0.0537,10,100,2,0,0,0,0,0,0.0000,0,0,,
r205_21,greedy,1,1927.2120,0.0840,10,100,2,0,0,0,0,0,0.0000,0,0,,
r205_21,greedy,2,1916.3900,0.0870,10,100,2,0,0,0,0,0,0.0000,0,0,,
r205_21,ls,0,1584.8410,0.3835,11,100,1,0,0,0,0,0,0.0000,20,0,,
r205_21,ls,1,1483.5750,0.8702,11,100,1,0,0,0,0,0,0.0000,20,1,,
r205_21,ls,2,1424.7960,1.1995,11,100,1,0,0,0,0,0,0.0000,20,0,,
r211_21,sa,0,1369.5170,15.8923,8,100,1,4009,2063,3928,1259,100,72.4670,0,0,,
r211_21,sa,1,1359.6130,16.2058,8,100,1,4434,1588,4078,1283,101,101.4338,0,0,,
r211_21,sa,2,1369.5170,16.2330,8,100,1,4344,1395,4261,1277,100,119.7591,0,0,,
r211_21,sa_ext,0,897.7870,60.7882,7,100,0,9103,2936,1267,0,140,72.4670,0,0,1.0000,28.0000
r211_21,sa_ext,1,897.7870,60.2665,7,100,0,6701,2212,1086,0,105,101.4338,0,0,0.0000,21.0000
