instance,algorithm,best_cost,avg_cost,avg_time
c103_21,greedy,2583.967,3004.152,0.1922
c103_21,ls,2104.84,2314.658,0.5186
c105_21,greedy,3539.836,3727.6007,0.2541
c105_21,ls,2399.59,2781.8395,0.2055
c204_21,greedy,1796.674,2028.1223,0.1317
c204_21,ls,1378.089,1545.8258,1.6691
r102_21,greedy,3328.964,3478.3113,0.3427
r102_21,ls,2724.481,2967.613,0.2357
r107_21,greedy,2702.689,2821.5677,0.2266
r107_21,ls,2199.102,2357.3495,0.221
r205_21,greedy,1891.587,1979.5223,0.0355
r205_21,ls,1441.611,1597.591,0.3824
r211_21,greedy,1591.725,1645.531,0.0353
r211_21,ls,1147.856,1326.702,1.2833
rc101_21,greedy,4228.163,4739.2497,0.4568
rc101_21,ls,3386.336,3651.4648,0.1824
rc106_21,greedy,3303.236,4016.7437,0.363
rc106_21,ls,2524.095,2835.5028,0.2604
rc203_21,greedy,2398.661,2443.9233,0.0325
rc203_21,ls,1825.058,2001.554,0.6355
